"","CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","TREE","CONDID","AZIMUTH","DIST","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIAHTCD","HT","HTCD","ACTUALHT","TREECLCD","CR","CCLCD","TREEGRCD","AGENTCD","CULL","FGROWCFGS","ba"
"1",247290012010854,2009,12,1,1,2,1,1,1,329,4.7,1,1,121,1,2,1,12,1,12,2,70,5,NA,NA,NA,0,0.0218166156499291
"2",247290013010854,2009,12,1,1,2,4,1,1,350,4.8,1,1,121,1,3.4,1,20,1,20,2,60,2,NA,NA,NA,0,0.0630500192282951
"3",247289816010854,2009,12,1,1,5,1,1,1,NA,NA,1,2,925,43,5.72,1,17,4,17,NA,NA,NA,NA,70,NA,0,0.17845118937016
"4",247289817010854,2009,12,1,1,5,1,2,1,51,23.5,1,1,545,36,11.5,1,61,1,61,3,40,2,NA,NA,0,0,0.721311854925782
"5",247289818010854,2009,12,1,1,5,1,3,1,NA,NA,1,2,545,36,11.28,1,69,4,69,NA,NA,NA,NA,70,NA,-1.990407,0.693977817177985
"6",247289819010854,2009,12,1,1,5,1,4,1,93,22.4,1,1,545,36,6.5,1,48,1,48,3,40,5,NA,NA,20,0,0.230438002802376
"7",247289820010854,2009,12,1,1,5,1,5,1,117,11.8,1,1,545,36,14.4,1,56,1,56,3,25,2,NA,NA,25,0,1.13097335529233
"8",247289821010854,2009,12,1,1,5,1,6,1,135,15.7,1,1,545,36,6.6,1,50,1,50,3,30,5,NA,NA,0,0,0.237582944427728
"9",247289822010854,2009,12,1,1,5,1,7,1,NA,NA,1,2,925,43,7.89,1,28,4,28,NA,NA,NA,NA,70,NA,0,0.339532534775238
"10",247289823010854,2009,12,1,1,5,1,8,1,297,16.3,1,1,545,36,11.4,1,45,1,45,3,40,4,NA,NA,5,0,0.708821842466197
"11",247289824010854,2009,12,1,1,5,1,9,1,303,19.7,1,1,545,36,13.3,1,63,1,63,2,40,2,3,NA,0,0.695201,0.964785285578991
"12",247289825010854,2009,12,1,1,5,1,10,1,302,23.1,1,1,545,36,10,1,60,1,60,2,40,3,NA,NA,0,0.396843,0.545415391248228
"13",247289826010854,2009,12,1,1,5,1,11,1,NA,NA,1,2,545,36,5.24,1,25,4,25,NA,NA,NA,NA,70,NA,0,0.149757976467373
"14",247289827010854,2009,12,1,1,5,1,12,1,NA,NA,1,2,925,43,1.79,1,18,3,18,NA,NA,NA,NA,70,NA,0,0.0174756545509845
"15",247289828010854,2009,12,1,1,5,1,13,1,93,23.1,1,1,545,36,6.2,1,53,1,53,3,40,4,NA,NA,0,0,0.209657676395819
"16",247289829010854,2009,12,1,1,5,1,14,1,6,13.1,1,1,316,32,6.1,1,55,1,55,3,30,5,NA,NA,0,0,0.202949067083466
